ds,holiday
2013-01-01,New Year
2013-01-02,New Year Holiday
2013-01-07,Orthodox Christmas
2013-02-15,Statehood Day
2013-02-16,Statehood Day Holiday
2013-05-01,Labour Day
2013-05-02,Labour Day Holiday
2013-05-03,Orthodox Good Friday
2013-05-05,Orthodox Easter
2013-05-06,Orthodox Easter Monday
2013-11-11,Armistice Day
2013-12-19,St. Nicholas (Nikoljdan)
2013-12-25,Christmas (Gregorian)
2014-01-01,New Year
2014-01-02,New Year Holiday
2014-01-07,Orthodox Christmas
2014-02-15,Statehood Day
2014-02-16,Statehood Day Holiday
2014-04-18,Orthodox Good Friday
2014-04-20,Orthodox Easter
2014-04-21,Orthodox Easter Monday
2014-05-01,Labour Day
2014-05-02,Labour Day Holiday
2014-11-11,Armistice Day
2014-12-19,St. Nicholas (Nikoljdan)
2014-12-25,Christmas (Gregorian)
2015-01-01,New Year
2015-01-02,New Year Holiday
2015-01-07,Orthodox Christmas
2015-02-15,Statehood Day
2015-02-16,Statehood Day Holiday
2015-04-10,Orthodox Good Friday
2015-04-12,Orthodox Easter
2015-04-13,Orthodox Easter Monday
2015-05-01,Labour Day
2015-05-02,Labour Day Holiday
2015-11-11,Armistice Day
2015-12-19,St. Nicholas (Nikoljdan)
2015-12-25,Christmas (Gregorian)
2016-01-01,New Year
2016-01-02,New Year Holiday
2016-01-07,Orthodox Christmas
2016-02-15,Statehood Day
2016-02-16,Statehood Day Holiday
2016-04-29,Orthodox Good Friday
2016-05-01,Labour Day
2016-05-01,Orthodox Easter
2016-05-02,Orthodox Easter Monday
2016-05-02,Labour Day Holiday
2016-11-11,Armistice Day
2016-12-19,St. Nicholas (Nikoljdan)
2016-12-25,Christmas (Gregorian)
2017-01-01,New Year
2017-01-02,New Year Holiday
2017-01-07,Orthodox Christmas
2017-02-15,Statehood Day
2017-02-16,Statehood Day Holiday
2017-04-14,Orthodox Good Friday
2017-04-16,Orthodox Easter
2017-04-17,Orthodox Easter Monday
2017-05-01,Labour Day
2017-05-02,Labour Day Holiday
2017-11-11,Armistice Day
2017-12-19,St. Nicholas (Nikoljdan)
2017-12-25,Christmas (Gregorian)
2018-01-01,New Year
2018-01-02,New Year Holiday
2018-01-07,Orthodox Christmas
2018-02-15,Statehood Day
2018-02-16,Statehood Day Holiday
2018-04-06,Orthodox Good Friday
2018-04-08,Orthodox Easter
2018-04-09,Orthodox Easter Monday
2018-05-01,Labour Day
2018-05-02,Labour Day Holiday
2018-11-11,Armistice Day
2018-12-19,St. Nicholas (Nikoljdan)
2018-12-25,Christmas (Gregorian)
2019-01-01,New Year
2019-01-02,New Year Holiday
2019-01-07,Orthodox Christmas
2019-02-15,Statehood Day
2019-02-16,Statehood Day Holiday
2019-04-26,Orthodox Good Friday
2019-04-28,Orthodox Easter
2019-04-29,Orthodox Easter Monday
2019-05-01,Labour Day
2019-05-02,Labour Day Holiday
2019-11-11,Armistice Day
2019-12-19,St. Nicholas (Nikoljdan)
2019-12-25,Christmas (Gregorian)
2020-01-01,New Year
2020-01-02,New Year Holiday
2020-01-07,Orthodox Christmas
2020-02-15,Statehood Day
2020-02-16,Statehood Day Holiday
2020-04-17,Orthodox Good Friday
2020-04-19,Orthodox Easter
2020-04-20,Orthodox Easter Monday
2020-05-01,Labour Day
2020-05-02,Labour Day Holiday
2020-11-11,Armistice Day
2020-12-19,St. Nicholas (Nikoljdan)
2020-12-25,Christmas (Gregorian)
2021-01-01,New Year
2021-01-02,New Year Holiday
2021-01-07,Orthodox Christmas
2021-02-15,Statehood Day
2021-02-16,Statehood Day Holiday
2021-04-30,Orthodox Good Friday
2021-05-01,Labour Day
2021-05-02,Labour Day Holiday
2021-05-02,Orthodox Easter
2021-05-03,Orthodox Easter Monday
2021-11-11,Armistice Day
2021-12-19,St. Nicholas (Nikoljdan)
2021-12-25,Christmas (Gregorian)
